Day,Session,Workshop Title,Full_Day_Session,Capacity
Tuesday,1,Schimmenspel - minivoorstelling maken,0,16
Tuesday,2,Schimmenspel - minivoorstelling maken,0,16
Tuesday,1,Ecologie: natuur aan het werk,0,16
Tuesday,2,Ecologie: natuur aan het werk,0,16
Tuesday,1,Wie is de dader? (forensisch onderzoek),0,20
Tuesday,2,Wie is de dader? (forensisch onderzoek),0,20
Wednesday,1,Hond in de hoofdrol,0,16
Wednesday,2,Hond in de hoofdrol,0,16
Tuesday,1,Summer karaoke & Music,0,16
Tuesday,2,Summer karaoke & Music,0,16
Tuesday,1,Create your own summer camp,0,16
Tuesday,2,Create your own summer camp,0,16
Tuesday,1,Fryske skiednis en in wurd sykje op De Gordyk,0,16
Tuesday,2,Fryske skiednis en in wurd sykje op De Gordyk,0,16
Tuesday,1,Van boek tot kunstwerk: creatief met oude boeken,0,16
Tuesday,2,Van boek tot kunstwerk: creatief met oude boeken,0,16
Tuesday,1,Verhalenfabriek,0,16
Tuesday,2,Verhalenfabriek,0,16
Tuesday,1,Nepnieuwsdetective,0,16
Tuesday,2,Nepnieuwsdetective,0,16
Tuesday,1,Papier leer,0,16
Tuesday,2,Papier leer,0,16
Tuesday,1,Vissen,0,16
Tuesday,2,Vissen,0,16
Tuesday,1,Maskers maken,0,16
Tuesday,2,Maskers maken,0,16
Tuesday,1,Camping sportactiviteiten,0,20
Tuesday,2,Camping sportactiviteiten,0,20
Tuesday,1,Eigen sportspel ontwerpen,0,20
Tuesday,2,Eigen sportspel ontwerpen,0,20
Tuesday,1,Dance / house muziek maken,0,16
Tuesday,2,Dance / house muziek maken,0,16
Tuesday,1,Brug bouwen met papier / toren met spaghetti,0,16
Tuesday,2,Brug bouwen met papier / toren met spaghetti,0,16
Tuesday,0,Cash Creators: bouw een spel over geld,1,16
Wednesday,1,Schimmenspel - minivoorstelling maken,0,16
Wednesday,2,Schimmenspel - minivoorstelling maken,0,16
Wednesday,1,Ecologie: natuur aan het werk,0,16
Wednesday,2,Ecologie: natuur aan het werk,0,16
Wednesday,1,Wie is de dader? (forensisch onderzoek),0,20
Wednesday,2,Wie is de dader? (forensisch onderzoek),0,20
Wednesday,1,Speurtocht met wiskunde opdrachten,0,16
Wednesday,2,Speurtocht met wiskunde opdrachten,0,16
Wednesday,1,Summer karaoke & Music,0,16
Wednesday,2,Summer karaoke & Music,0,16
Wednesday,1,Create your own summer camp,0,16
Wednesday,2,Create your own summer camp,0,16
Wednesday,1,Fryske skiednis en in wurd sykje op De Gordyk,0,16
Wednesday,2,Fryske skiednis en in wurd sykje op De Gordyk,0,16
Wednesday,1,Van boek tot kunstwerk: creatief met oude boeken,0,16
Wednesday,2,Van boek tot kunstwerk: creatief met oude boeken,0,16
Wednesday,1,Verhalenfabriek,0,16
Wednesday,2,Verhalenfabriek,0,16
Wednesday,1,Nepnieuwsdetective,0,16
Wednesday,2,Nepnieuwsdetective,0,16
Wednesday,1,Papier leer,0,16
Wednesday,2,Papier leer,0,16
Wednesday,1,Van boer tot blender,0,16
Wednesday,2,Van boer tot blender,0,16
Wednesday,1,Maskers maken,0,16
Wednesday,2,Maskers maken,0,16
Wednesday,1,Zwemmen,0,20
Wednesday,2,Zwemmen,0,40
Wednesday,1,Eigen sportspel ontwerpen,0,20
Wednesday,2,Eigen sportspel ontwerpen,0,20
Wednesday,1,Vuvuzela maken,0,16
Wednesday,2,Vuvuzela maken,0,16
Wednesday,1,Brug bouwen met papier / toren met spaghetti,0,16
Wednesday,2,Brug bouwen met papier / toren met spaghetti,0,16
Thursday,1,Brug bouwen met papier / toren met spaghetti,0,16
Thursday,2,Brug bouwen met papier / toren met spaghetti,0,16
Thursday,1,Ecologie: natuur aan het werk,0,16
Thursday,2,Ecologie: natuur aan het werk,0,16
Thursday,1,Wie is de dader? (forensisch onderzoek),0,16
Thursday,2,Wie is de dader? (forensisch onderzoek),0,16
Thursday,1,Speurtocht met wiskunde opdrachten,0,16
Thursday,2,Speurtocht met wiskunde opdrachten,0,16
Thursday,1,Summer karaoke & Music,0,16
Thursday,2,Summer karaoke & Music,0,16
Thursday,1,Create your own summer camp,0,16
Thursday,2,Create your own summer camp,0,16
Thursday,0,Naar de kaasboerderij,1,20
Thursday,1,Verhalenfabriek,0,16
Thursday,2,Verhalenfabriek,0,16
Thursday,1,Papier leer,0,16
Thursday,2,Papier leer,0,16
Thursday,1,Maskers maken,0,16
Thursday,2,Maskers maken,0,16
Thursday,1,Camping sportactiviteiten,0,20
Thursday,2,Camping sportactiviteiten,0,20
Thursday,1,Eigen sportspel ontwerpen,0,20
Thursday,2,Eigen sportspel ontwerpen,0,20
Thursday,1,Vuvuzela maken,0,16
Thursday,2,Vuvuzela maken,0,16
